group	trial	n	sample_added	features	bp	new_features	new_bp	singleton_features	singleton_bp
full	1	1	T1	5	41	5	41	5	41
full	1	2	O2	7	58	2	17	4	34
full	1	3	O3	7	58	0	0	2	17
full	1	4	T2	7	58	0	0	1	7
full	1	5	O1	7	58	0	0	1	7
full	2	1	O2	5	41	5	41	5	41
full	2	2	T2	6	51	1	10	4	35
full	2	3	T1	7	58	1	7	3	24
full	2	4	O3	7	58	0	0	1	7
full	2	5	O1	7	58	0	0	1	7
full	3	1	O3	5	41	5	41	5	41
full	3	2	O2	5	41	0	0	0	0
full	3	3	T2	6	51	1	10	1	10
full	3	4	O1	6	51	0	0	1	10
full	3	5	T1	7	58	1	7	1	7
full	4	1	O1	5	41	5	41	5	41
full	4	2	T2	6	51	1	10	4	35
full	4	3	O2	6	51	0	0	1	10
full	4	4	T1	7	58	1	7	1	7
full	4	5	O3	7	58	0	0	1	7
full	5	1	O2	5	41	5	41	5	41
full	5	2	O3	5	41	0	0	0	0
full	5	3	T2	6	51	1	10	1	10
full	5	4	T1	7	58	1	7	1	7
full	5	5	O1	7	58	0	0	1	7
full	6	1	T1	5	41	5	41	5	41
full	6	2	T2	5	41	0	0	2	15
full	6	3	O2	7	58	2	17	3	24
full	6	4	O1	7	58	0	0	1	7
full	6	5	O3	7	58	0	0	1	7
full	7	1	T1	5	41	5	41	5	41
full	7	2	O2	7	58	2	17	4	34
full	7	3	O1	7	58	0	0	2	17
full	7	4	O3	7	58	0	0	2	17
full	7	5	T2	7	58	0	0	1	7
full	8	1	T1	5	41	5	41	5	41
full	8	2	T2	5	41	0	0	2	15
full	8	3	O2	7	58	2	17	3	24
full	8	4	O3	7	58	0	0	1	7
full	8	5	O1	7	58	0	0	1	7
full	9	1	T2	3	26	3	26	3	26
full	9	2	O1	6	51	3	25	4	35
full	9	3	O2	6	51	0	0	1	10
full	9	4	O3	6	51	0	0	1	10
full	9	5	T1	7	58	1	7	1	7
full	10	1	T1	5	41	5	41	5	41
full	10	2	O3	7	58	2	17	4	34
full	10	3	O1	7	58	0	0	2	17
full	10	4	T2	7	58	0	0	1	7
full	10	5	O2	7	58	0	0	1	7
full	11	1	T1	5	41	5	41	5	41
full	11	2	O2	7	58	2	17	4	34
full	11	3	T2	7	58	0	0	3	24
full	11	4	O1	7	58	0	0	1	7
full	11	5	O3	7	58	0	0	1	7
full	12	1	O1	5	41	5	41	5	41
full	12	2	O3	5	41	0	0	0	0
full	12	3	T1	7	58	2	17	2	17
full	12	4	O2	7	58	0	0	2	17
full	12	5	T2	7	58	0	0	1	7
full	13	1	O1	5	41	5	41	5	41
full	13	2	T2	6	51	1	10	4	35
full	13	3	O3	6	51	0	0	1	10
full	13	4	T1	7	58	1	7	1	7
full	13	5	O2	7	58	0	0	1	7
full	14	1	O3	5	41	5	41	5	41
full	14	2	T1	7	58	2	17	4	34
full	14	3	T2	7	58	0	0	3	24
full	14	4	O2	7	58	0	0	1	7
full	14	5	O1	7	58	0	0	1	7
full	15	1	T1	5	41	5	41	5	41
full	15	2	O3	7	58	2	17	4	34
full	15	3	O2	7	58	0	0	2	17
full	15	4	O1	7	58	0	0	2	17
full	15	5	T2	7	58	0	0	1	7
full	16	1	O2	5	41	5	41	5	41
full	16	2	T2	6	51	1	10	4	35
full	16	3	T1	7	58	1	7	3	24
full	16	4	O3	7	58	0	0	1	7
full	16	5	O1	7	58	0	0	1	7
full	17	1	T1	5	41	5	41	5	41
full	17	2	O3	7	58	2	17	4	34
full	17	3	O1	7	58	0	0	2	17
full	17	4	O2	7	58	0	0	2	17
full	17	5	T2	7	58	0	0	1	7
full	18	1	T1	5	41	5	41	5	41
full	18	2	T2	5	41	0	0	2	15
full	18	3	O3	7	58	2	17	3	24
full	18	4	O1	7	58	0	0	1	7
full	18	5	O2	7	58	0	0	1	7
full	19	1	O2	5	41	5	41	5	41
full	19	2	O1	5	41	0	0	0	0
full	19	3	T1	7	58	2	17	2	17
full	19	4	T2	7	58	0	0	1	7
full	19	5	O3	7	58	0	0	1	7
full	20	1	T2	3	26	3	26	3	26
full	20	2	O1	6	51	3	25	4	35
full	20	3	O3	6	51	0	0	1	10
full	20	4	O2	6	51	0	0	1	10
full	20	5	T1	7	58	1	7	1	7
full	21	1	T1	5	41	5	41	5	41
full	21	2	O3	7	58	2	17	4	34
full	21	3	O1	7	58	0	0	2	17
full	21	4	O2	7	58	0	0	2	17
full	21	5	T2	7	58	0	0	1	7
full	22	1	O1	5	41	5	41	5	41
full	22	2	O3	5	41	0	0	0	0
full	22	3	O2	5	41	0	0	0	0
full	22	4	T2	6	51	1	10	1	10
full	22	5	T1	7	58	1	7	1	7
full	23	1	T2	3	26	3	26	3	26
full	23	2	O2	6	51	3	25	4	35
full	23	3	O3	6	51	0	0	1	10
full	23	4	O1	6	51	0	0	1	10
full	23	5	T1	7	58	1	7	1	7
full	24	1	T2	3	26	3	26	3	26
full	24	2	O1	6	51	3	25	4	35
full	24	3	O2	6	51	0	0	1	10
full	24	4	O3	6	51	0	0	1	10
full	24	5	T1	7	58	1	7	1	7
full	25	1	T1	5	41	5	41	5	41
full	25	2	T2	5	41	0	0	2	15
full	25	3	O2	7	58	2	17	3	24
full	25	4	O3	7	58	0	0	1	7
full	25	5	O1	7	58	0	0	1	7
target	1	1	T2	3	26	3	26	3	26
target	1	2	T1	5	41	2	15	2	15
target	2	1	T2	3	26	3	26	3	26
target	2	2	T1	5	41	2	15	2	15
target	3	1	T1	5	41	5	41	5	41
target	3	2	T2	5	41	0	0	2	15
target	4	1	T1	5	41	5	41	5	41
target	4	2	T2	5	41	0	0	2	15
target	5	1	T2	3	26	3	26	3	26
target	5	2	T1	5	41	2	15	2	15
target	6	1	T1	5	41	5	41	5	41
target	6	2	T2	5	41	0	0	2	15
target	7	1	T1	5	41	5	41	5	41
target	7	2	T2	5	41	0	0	2	15
target	8	1	T2	3	26	3	26	3	26
target	8	2	T1	5	41	2	15	2	15
target	9	1	T1	5	41	5	41	5	41
target	9	2	T2	5	41	0	0	2	15
target	10	1	T2	3	26	3	26	3	26
target	10	2	T1	5	41	2	15	2	15
target	11	1	T1	5	41	5	41	5	41
target	11	2	T2	5	41	0	0	2	15
target	12	1	T2	3	26	3	26	3	26
target	12	2	T1	5	41	2	15	2	15
target	13	1	T2	3	26	3	26	3	26
target	13	2	T1	5	41	2	15	2	15
target	14	1	T2	3	26	3	26	3	26
target	14	2	T1	5	41	2	15	2	15
target	15	1	T2	3	26	3	26	3	26
target	15	2	T1	5	41	2	15	2	15
target	16	1	T2	3	26	3	26	3	26
target	16	2	T1	5	41	2	15	2	15
target	17	1	T2	3	26	3	26	3	26
target	17	2	T1	5	41	2	15	2	15
target	18	1	T2	3	26	3	26	3	26
target	18	2	T1	5	41	2	15	2	15
target	19	1	T1	5	41	5	41	5	41
target	19	2	T2	5	41	0	0	2	15
target	20	1	T1	5	41	5	41	5	41
target	20	2	T2	5	41	0	0	2	15
target	21	1	T2	3	26	3	26	3	26
target	21	2	T1	5	41	2	15	2	15
target	22	1	T1	5	41	5	41	5	41
target	22	2	T2	5	41	0	0	2	15
target	23	1	T1	5	41	5	41	5	41
target	23	2	T2	5	41	0	0	2	15
target	24	1	T1	5	41	5	41	5	41
target	24	2	T2	5	41	0	0	2	15
target	25	1	T2	3	26	3	26	3	26
target	25	2	T1	5	41	2	15	2	15
off_target	1	1	O2	5	41	5	41	5	41
off_target	1	2	O1	5	41	0	0	0	0
off_target	1	3	O3	5	41	0	0	0	0
off_target	2	1	O3	5	41	5	41	5	41
off_target	2	2	O2	5	41	0	0	0	0
off_target	2	3	O1	5	41	0	0	0	0
off_target	3	1	O3	5	41	5	41	5	41
off_target	3	2	O1	5	41	0	0	0	0
off_target	3	3	O2	5	41	0	0	0	0
off_target	4	1	O1	5	41	5	41	5	41
off_target	4	2	O3	5	41	0	0	0	0
off_target	4	3	O2	5	41	0	0	0	0
off_target	5	1	O3	5	41	5	41	5	41
off_target	5	2	O2	5	41	0	0	0	0
off_target	5	3	O1	5	41	0	0	0	0
off_target	6	1	O3	5	41	5	41	5	41
off_target	6	2	O1	5	41	0	0	0	0
off_target	6	3	O2	5	41	0	0	0	0
off_target	7	1	O1	5	41	5	41	5	41
off_target	7	2	O2	5	41	0	0	0	0
off_target	7	3	O3	5	41	0	0	0	0
off_target	8	1	O3	5	41	5	41	5	41
off_target	8	2	O2	5	41	0	0	0	0
off_target	8	3	O1	5	41	0	0	0	0
off_target	9	1	O1	5	41	5	41	5	41
off_target	9	2	O3	5	41	0	0	0	0
off_target	9	3	O2	5	41	0	0	0	0
off_target	10	1	O2	5	41	5	41	5	41
off_target	10	2	O3	5	41	0	0	0	0
off_target	10	3	O1	5	41	0	0	0	0
off_target	11	1	O3	5	41	5	41	5	41
off_target	11	2	O1	5	41	0	0	0	0
off_target	11	3	O2	5	41	0	0	0	0
off_target	12	1	O2	5	41	5	41	5	41
off_target	12	2	O1	5	41	0	0	0	0
off_target	12	3	O3	5	41	0	0	0	0
off_target	13	1	O3	5	41	5	41	5	41
off_target	13	2	O2	5	41	0	0	0	0
off_target	13	3	O1	5	41	0	0	0	0
off_target	14	1	O2	5	41	5	41	5	41
off_target	14	2	O3	5	41	0	0	0	0
off_target	14	3	O1	5	41	0	0	0	0
off_target	15	1	O2	5	41	5	41	5	41
off_target	15	2	O1	5	41	0	0	0	0
off_target	15	3	O3	5	41	0	0	0	0
off_target	16	1	O3	5	41	5	41	5	41
off_target	16	2	O2	5	41	0	0	0	0
off_target	16	3	O1	5	41	0	0	0	0
off_target	17	1	O2	5	41	5	41	5	41
off_target	17	2	O1	5	41	0	0	0	0
off_target	17	3	O3	5	41	0	0	0	0
off_target	18	1	O2	5	41	5	41	5	41
off_target	18	2	O3	5	41	0	0	0	0
off_target	18	3	O1	5	41	0	0	0	0
off_target	19	1	O1	5	41	5	41	5	41
off_target	19	2	O3	5	41	0	0	0	0
off_target	19	3	O2	5	41	0	0	0	0
off_target	20	1	O3	5	41	5	41	5	41
off_target	20	2	O1	5	41	0	0	0	0
off_target	20	3	O2	5	41	0	0	0	0
off_target	21	1	O2	5	41	5	41	5	41
off_target	21	2	O1	5	41	0	0	0	0
off_target	21	3	O3	5	41	0	0	0	0
off_target	22	1	O1	5	41	5	41	5	41
off_target	22	2	O3	5	41	0	0	0	0
off_target	22	3	O2	5	41	0	0	0	0
off_target	23	1	O3	5	41	5	41	5	41
off_target	23	2	O1	5	41	0	0	0	0
off_target	23	3	O2	5	41	0	0	0	0
off_target	24	1	O1	5	41	5	41	5	41
off_target	24	2	O3	5	41	0	0	0	0
off_target	24	3	O2	5	41	0	0	0	0
off_target	25	1	O3	5	41	5	41	5	41
off_target	25	2	O2	5	41	0	0	0	0
off_target	25	3	O1	5	41	0	0	0	0
